startYear,actors,gross,search_interests
2011,Alan Rickman,381409310,1272
2011,Michael Gambon,381409310,1143
2011,Ralph Fiennes,381409310,1119
2011,Johnny Depp,364549409,2552
2011,Josh Duhamel,352390543,1812
2011,Rosie Huntington-Whiteley,352390543,767
2011,Shia LaBeouf,352390543,816
2011,Billy Burke,318949295,1197
2011,Gil Birmingham,281287133,669
2011,Taylor Lautner,281287133,869
2012,Chris Evans,625327103,1531
2012,Mark Ruffalo,623357910,966
2012,Robert Downey Jr.,623357910,2041
2012,Jennifer Lawrence,571715566,1040
2012,Kristen Stewart,448401414,681
2012,Stanley Tucci,408010692,1573
2012,Wes Bentley,408010692,865
2012,Daniel Craig,304360277,1185
2012,Javier Bardem,304360277,816
2012,Judi Dench,304360277,1369
2013,Sandra Bullock,433674893,1817
2013,Kristen Wiig,426302223,1464
2013,Jack Quaid,424668047,1805
2013,Jennifer Lawrence,424668047,775
2013,Liam Hemsworth,424668047,1078
2013,Idina Menzel,400953009,725
2013,Jonathan Groff,400953009,642
2013,Kristen Bell,400953009,2443
2013,Benjamin Bratt,368065385,1538
2013,Steve Carell,368065385,2441
2014,Scarlett Johansson,386430172,2932
2014,Bradley Cooper,350126372,2254
2014,Kyle Gallner,350126372,1833
2014,Josh Hutcherson,337331677,2162
2014,Jennifer Lawrence,337135885,289
2014,Liam Hemsworth,337135885,1961
2014,Will Arnett,322012233,1893
2014,Mark Wahlberg,279120068,2465
2014,Elizabeth Banks,270311723,1842
2014,Chris Evans,259766572,1463
2015,Harrison Ford,979292001,387
2015,Carrie Fisher,936662225,523
2015,Mark Hamill,936662225,619
2015,Bryce Dallas Howard,652385625,654
2015,Chris Pratt,652385625,959
2015,Irrfan Khan,652385625,884
2015,Mark Ruffalo,504061644,2333
2015,Chris Hemsworth,492032606,2012
2015,Robert Downey Jr.,459005868,1654
2015,Michael Keaton,381101546,579
2016,Kevin Hart,587047031,2151
2016,Bill Murray,492351697,852
2016,Albert Brooks,486295561,1249
2016,Ed O'Neill,486295561,1137
2016,Ellen DeGeneres,486295561,2008
2016,Ben Affleck,426998794,1547
2016,Chris Evans,408084349,1435
2016,Robert Downey Jr.,408084349,1808
2016,Scarlett Johansson,408084349,2995
2016,Dwayne Johnson,376197915,2396
2017,Dwayne Johnson,630548556,1043
2017,Adam Driver,620181382,571
2017,Carrie Fisher,620181382,584
2017,Mark Hamill,620181382,866
2017,Dan Stevens,504481165,705
2017,Emma Watson,504481165,1100
2017,Luke Evans,504481165,965
2017,Tom Hiddleston,483111101,1531
2017,Dave Bautista,481867260,1188
2017,Kevin Hart,478461171,550
2018,Chris Hemsworth,724635195,1736
2018,Chadwick Boseman,700426566,619
2018,Lupita Nyong'o,700426566,621
2018,Michael B. Jordan,700426566,669
2018,Mark Ruffalo,678815482,1523
2018,Robert Downey Jr.,678815482,1509
2018,Craig T. Nelson,608581744,1191
2018,Holly Hunter,608581744,1244
2018,Sarah Vowell,608581744,884
2018,Bryce Dallas Howard,417719760,1167
2019,Chris Evans,1023736234,1401
2019,Samuel L. Jackson,949770607,2152
2019,Mark Ruffalo,858373000,1438
2019,Robert Downey Jr.,858373000,784
2019,Chiwetel Ejiofor,543638043,1085
2019,James Earl Jones,543638043,1612
2019,John Oliver,543638043,2576
2019,Josh Gad,541823065,987
2019,Dwayne Johnson,517230781,802
2019,Adam Driver,515202542,647
