title,release,director,budget,opening,gross,worldwide_gross,metacritic_score,mpaa_rating,budget_mil,opening_mil,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,leadActor
Jurassic World,2015-06-12,Colin Trevorrow,150000000,208806270,652385625,1670516444,59,PG-13,150.0,208.80627,tt0369610,movie,Jurassic World,Jurassic World,0,2015,124,Action,7.0,584990,nm0415425
Motherless Brooklyn,2019-11-01,Edward Norton,26000000,3500454,9277736,18477736,60,R,26.0,3.500454,tt0385887,movie,Motherless Brooklyn,Motherless Brooklyn,0,2019,144,Crime,6.8,46090,nm0066016
Alita: Battle Angel,2019-02-14,Robert Rodriguez,170000000,28525613,85838210,404980543,53,PG-13,170.0,28.525613,tt0437086,movie,Alita: Battle Angel,Alita: Battle Angel,0,2019,122,Action,7.3,234341,nm0432725
Shazam!,2019-04-05,David F. Sandberg,100000000,53505326,140371656,365971656,71,PG-13,100.0,53.505326,tt0448115,movie,Shazam!,Shazam!,0,2019,132,Action,7.0,269073,nm1304148
Wonder Woman,2017-06-02,Patty Jenkins,149000000,103251471,412815408,822824522,76,PG-13,149.0,103.251471,tt0451279,movie,Wonder Woman,Wonder Woman,0,2017,141,Action,7.4,587725,nm0374302
"Hail, Caesar!",2016-02-05,Ethan Coen,22000000,11355225,30498085,63647656,72,PG-13,22.0,11.355225,tt0475290,movie,"Hail, Caesar!","Hail, Caesar!",0,2016,106,Comedy,6.3,125634,nm0001053
Ant-Man,2015-07-17,Peyton Reed,130000000,57225526,180202163,519311965,64,PG-13,130.0,57.225526,tt0478970,movie,Ant-Man,Ant-Man,0,2015,117,Action,7.3,581979,nm0498278
Suburbicon,2017-10-27,George Clooney,25000000,2840246,5775178,12751667,42,R,25.0,2.840246,tt0491175,movie,Suburbicon,Suburbicon,0,2017,105,Comedy,5.7,41011,nm0001054
Tulip Fever,2017-09-01,Justin Chadwick,25000000,1158017,2455635,9204549,38,R,25.0,1.158017,tt0491203,movie,Tulip Fever,Tulip Fever,0,2017,105,Drama,6.2,18964,nm0334441
CHIPS,2017-03-24,Dax Shepard,25000000,7722802,18600152,26800152,28,R,25.0,7.722802,tt0493405,movie,CHIPS,CHIPS,0,2017,100,Action,6.0,43223,nm0025465
Rings,2017-02-03,F. Javier Gutiérrez,25000000,13002632,27793018,83080890,25,PG-13,25.0,13.002632,tt0498381,movie,Rings,Rings,0,2017,102,Drama,4.5,38153,nm0326040
Warcraft,2016-06-10,Duncan Jones,160000000,24166110,47365290,439048914,32,PG-13,160.0,24.16611,tt0803096,movie,Warcraft,Warcraft,0,2016,123,Action,6.8,243713,nm0495378
The Danish Girl,2016-01-22,Tom Hooper,15000000,187318,11114018,64191523,66,R,15.0,0.187318,tt0810819,movie,The Danish Girl,The Danish Girl,0,2015,119,Biography,7.1,167126,nm0271479
Justice League,2017-11-17,Zack Snyder,300000000,93842239,229024295,657926987,45,PG-13,300.0,93.842239,tt0974015,movie,Justice League,Justice League,0,2017,120,Action,6.2,409753,nm0811583
