title,release,startYear,top3_actors
Campus Radio,2011-01-01,2011,"['Tom Belding', 'Royce Boswell', 'Michael Bourland']"
Season of the Witch,2011-01-07,2011,"['Robert De Niro', 'Harvey Keitel', 'David Proval']"
The Green Hornet,2011-01-14,2011,"['Seth Rogen', 'Jay Chou', 'Cameron Diaz']"
The Mechanic,2011-01-28,2011,"['Jason Statham', 'Ben Foster', 'Tony Goldwyn']"
The Rite,2011-01-28,2011,"['Anthony Hopkins', ""Colin O'Donoghue"", 'Alice Braga']"
Sanctum,2011-02-04,2011,"['Richard Roxburgh', 'Ioan Gruffudd', 'Rhys Wakefield']"
The Eagle,2011-02-11,2011,"['Channing Tatum', 'István Göz', 'Bence Gerö']"
Gnomeo & Juliet,2011-02-11,2011,"['James McAvoy', 'Emily Blunt', 'Ashley Jensen']"
Unknown,2011-02-18,2011,"['Liam Neeson', 'Diane Kruger', 'January Jones']"
"Big Mommas: Like Father, Like Son",2011-02-18,2011,"['Martin Lawrence', 'Brandon T. Jackson', 'Jessica Lucas']"
Drive Angry,2011-02-25,2011,"['Nicolas Cage', 'Amber Heard', 'William Fichtner']"
Take Me Home Tonight,2011-03-04,2011,"['Topher Grace', 'Anna Faris', 'Dan Fogler']"
Beastly,2011-03-04,2011,"['Alex Pettyfer', 'Justin Bradley', 'Mary-Kate Olsen']"
Rango,2011-03-04,2011,"['Johnny Depp', 'Isla Fisher', 'Abigail Breslin']"
The Adjustment Bureau,2011-03-04,2011,"['Matt Damon', 'Emily Blunt', 'Lisa Thoreson']"
Mars Needs Moms,2011-03-11,2011,"['Seth Green', 'Dan Fogler', 'Joan Cusack']"
Red Riding Hood,2011-03-11,2011,"['Amanda Seyfried', 'Gary Oldman', 'Billy Burke']"
The Innkeepers,2011-03-12,2011,"['Sara Paxton', 'Pat Healy', 'Alison Bartlett']"
The FP,2011-03-13,2011,"['Jason Trost', 'Brandon Barrera', 'Art Hsu']"
The Lincoln Lawyer,2011-03-18,2011,"['Matthew McConaughey', 'Marisa Tomei', 'Ryan Phillippe']"
Paul,2011-03-18,2011,"['Mia Stallard', 'Simon Pegg', 'Nick Frost']"
Sucker Punch,2011-03-25,2011,"['Emily Browning', 'Abbie Cornish', 'Jena Malone']"
Hop,2011-04-01,2011,"['James Marsden', 'Russell Brand', 'Kaley Cuoco']"
Source Code,2011-04-01,2011,"['Jake Gyllenhaal', 'Michelle Monaghan', 'Vera Farmiga']"
Hanna,2011-04-08,2011,"['Esme Creed-Miles', 'Mireille Enos', 'Joel Kinnaman']"
Soul Surfer,2011-04-08,2011,"['AnnaSophia Robb', 'Helen Hunt', 'Dennis Quaid']"
Your Highness,2011-04-08,2011,"['Danny McBride', 'James Franco', 'Rasmus Hardiker']"
Rio,2011-04-15,2011,"['Karen Disher', 'Jason Fricchione', 'Sofia Scarpa Saldanha']"
Atlas Shrugged: Part I,2011-04-15,2011,"['Taylor Schilling', 'Grant Bowler', 'Matthew Marsden']"
Fast Five,2011-04-29,2011,"['Vin Diesel', 'Paul Walker', 'Jordana Brewster']"
Hoodwinked Too! Hood vs. Evil,2011-04-29,2011,"['Hayden Panettiere', 'Glenn Close', 'Patrick Warburton']"
Prom,2011-04-29,2011,"['Aimee Teegarden', 'Thomas McDonell', 'DeVaughn Nixon']"
Thor,2011-05-06,2011,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']"
Something Borrowed,2011-05-06,2011,"['Debra Messing', 'Dermot Mulroney', 'Amy Adams']"
Attack the Block,2011-05-13,2011,"['Jodie Whittaker', 'John Boyega', 'Alex Esmail']"
Priest,2011-05-13,2011,"['Paul Bettany', 'Karl Urban', 'Cam Gigandet']"
Pirates of the Caribbean: On Stranger Tides,2011-05-20,2011,"['Johnny Depp', 'Penélope Cruz', 'Geoffrey Rush']"
Kung Fu Panda 2,2011-05-26,2011,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman']"
