date,Chris Evans,Mark Ruffallo,Daniel Craig
2012-01-01,19,0,34
2012-01-08,17,0,23
2012-01-15,23,0,17
2012-01-22,16,0,15
2012-01-29,18,0,15
2012-02-05,24,0,15
2012-02-12,19,0,8
2012-02-19,21,0,12
2012-02-26,18,0,14
2012-03-04,18,0,9
2012-03-11,19,0,10
2012-03-18,13,0,10
2012-03-25,15,0,18
2012-04-01,16,50,15
2012-04-08,24,0,10
2012-04-15,24,0,11
2012-04-22,26,0,10
2012-04-29,50,0,14
2012-05-06,100,49,8
2012-05-13,74,0,7
2012-05-20,57,0,11
2012-05-27,60,0,13
2012-06-03,44,49,8
2012-06-10,43,0,12
2012-06-17,37,50,8
2012-06-24,28,100,9
2012-07-01,38,0,11
2012-07-08,29,0,12
2012-07-15,25,0,13
2012-07-22,22,0,37
2012-07-29,40,0,33
2012-08-05,36,0,17
2012-08-12,37,0,14
2012-08-19,31,49,13
2012-08-26,27,0,13
2012-09-02,24,0,11
2012-09-09,20,0,13
2012-09-16,19,0,10
2012-09-23,28,0,17
2012-09-30,44,0,28
2012-10-07,27,0,39
2012-10-14,30,0,30
2012-10-21,21,0,28
2012-10-28,25,0,28
2012-11-04,17,0,85
2012-11-11,17,0,100
2012-11-18,19,0,85
2012-11-25,19,0,50
2012-12-02,17,0,36
2012-12-09,18,0,28
2012-12-16,21,0,28
2012-12-23,30,49,36
2012-12-30,27,0,34
